SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
2812.00	panic	PA*PBG	PAEUP	"PAEUP overwrites ""paper,"" for which I added in PARP. I also added in PAEUPT (which overwrites one way to write ""paint,"" for which I added in P-FP) for ""panic attack."""		"You might panic if you learned that the World PING PONG (P-) Championships were to be held at your AEUP (address). How could you accommodate all the visitors? (AEUP is an addition for ""address."")"		2975				1 - NGSL	2001-3K	2690	B9E	5.000		6		5
2813.00	priest	PRAOEFT	PREFT	"PREFT overwrites ""previous to,"" for which I added in TPABT, which is is based on the addition of TPAB for ""previous"" and overwrites one way to write ""fact."" I also added in PR*EFLT for ""priestly."""		It may not be advisable for a priest to openly declare himself to be a member of the ELEPHANT (E) or Donkey party.		2976				4- Not in a list	2001-3K		B9F	5.000		7		6
2814.00	considerably	KRAEBL	KR*BL or K*RBL	"KR*BL and K*RBL are based on KR-BL and K-RBL for ""considerable."""			"Riding a KRAE (cray) BL (bull) at a rodeo is considerably more dangerous than riding a tame one, since you may get knocked off and have to go to the ACCIDENT AND EMERGENCY DEPARTMENT (AE)."	2977				4- Not in a list	2001-3K		BA0	5.000		6		12
2815.00	uncle	UPB/K-L	UPBL	"I also added in UPBLS for ""uncles."""		"What would your thoughts be if your uncle became rich on -NL (international) URANIUM (U) sales? (-NL is an addition for ""international."")"		2978				1 - NGSL	2001-3K	2691	BA1	4.000		5	2	5
2816.00	rice	RAOEUS	RAOEU	"RAOEU overwrites one way to write ""rye."" I also added in RAOEUS for ""rices,"" which overwrites the original outline for ""rice."""		Is it healthy to replace all the RAOEU (rye) bread in your diet with rice?		2979				1 - NGSL	2001-3K	2692	BA2	5.000		6		4
2817.00	trousers	TROU/SERS	TROUB	"I also added in TRO*UB for ""trouser."""		"A BRAZILIAN (-B) company TROU-s (introduces) trousers with built-in air conditioning to help wearers withstand the summer heat. (TROU is an addition for ""introduce."")"		2980				4- Not in a list	2001-3K		BA3	5.000		8	2	8
2818.00	slope	SHROEP	SHROP	"SHROP overwrites ""slop,"" for which I added in SHRO*P."		A group of happy pigs eats all the SLOP (slop) they want on the slope of a grassy hill.		2981				1 - NGSL	2001-3K	2693	BA4	5.000		6		5
2819.00	happiness	HAEP/PBS	HAEPS	"HAEPS is based on HAEP for ""happy."""		"A traveler who wants to become HAEP (happy) hopes that a trip to SPAIN (-S) will bring him the true happiness that he is looking for. (HAEP is an outline for ""happy."")"		2982				1 - NGSL	2001-3K	2694	BA5	5.000		7	2	9
2820.00	genuine	SKWREPB/WEUPB	WEUB	"I also added in WEUBL for ""genuinely."""		"If EUB (anybody) has a genuine appreciation for WALRUSES (W-), they may enjoy living in Alaska. (EUB is an addition for ""anybody."")"		2983				1 - NGSL	2001-3K	2695	BA6	4.000		12	2	7
2821.00	sharply	SHARP/HREU	SHARL			"SHAR-ing (sharing) your LASER (-L) pointers with children is sharply discouraged by all industrial safety groups. (SHAR is an addition for ""share."")"		2984				4- Not in a list	2001-3K		BA7	5.000		9	2	7
2822.00	widespread	WAOEU/SPRED	WRED			"There is widespread agreement among economists that buying a pet WALRUS (W-) will cause your budget to go in the RED (red), given all the costs involved in caring for it."	"If a rumor is widespread, WAOEU/SPRED (why spread) it any further?"	2985				3 - NAWL	2001-3K		BA8	4.000		10	2	10
2823.00	vessel	SREFL						2986				1 - NGSL	2001-3K	2696	BA9	5.000		5		6
2824.00	emission	AOE/PHEUGS	AOEGS	"AOEGS overwrites one way to write ""essential,"" for which I added in SERB, which overwrites the original outline for ""Serb,"" for which I added in S*URB. I also added in AOEGSZ for ""emissions."""		"MOSQUITOS (AOE) -GS (shun) the smell of DEET emissions, which is why people love to put that stuff on their skin."		2987				3 - NAWL	2001-3K		BAA	5.000		9	2	8
2825.00	verb	SRERB						2988				1 - NGSL	2001-3K	2697	BAB	5.000		5		4
2826.00	reckon	REBG/PB	KREPB	"This addition makes use of an inversion to represent the RE- and K-N sounds in ""reckon."""	REBG/O*PB	"I reckon that very few KANGAROOS (K-) are REPB (green). (REPB is an addition for ""green."")"		2989				1 - NGSL	2001-3K	2698	BAC	5.000		6	2	6
2827.00	silly	SEUL/HREU	SHROU	"I also added in SHROUR for ""sillier"" and SHROUT for ""silliest."""		"It would be silly, and perhaps quite dangerous, to LOU (allow) a 12 year-old to pilot the SPACE SHUTTLE (S-). (HROU is an outline for ""allow."")"		2990				1 - NGSL	2001-3K	2699	BAD	5.000		8	2	5
2828.00	organizational	ORG/A*L	ORLG	"ORLG is similar to ORG for ""organize."" ORLGT could also work (as ORGT is an addition for ""organization"") but is less ergonomic."		Organizational change may be needed to ORG (organize) a response to the threat posed by LASERS (-L).	An organizational psychologist suggests to a CEO that his employees would be happier if they could ORG (organize).	2991				4- Not in a list	2001-3K		BAE	4.000		6	2	14
2829.00	transportation	TR-PGS	TR-FPT	"TR-FPT (which overwrites ""artist,"" for which I added in TART) is based on the addition of TR-FP for ""transport."""				2992				1 - NGSL	2001-3K	2700	BAF	5.000		5		14
2830.00	harbor	HAR/PWOR	HOER	"I also added in HOERD (which overwrites one way to write ""horde"") for ""harbored"" and HOERS (which overwrites one way to write ""horse,"" for which I added in HOR) for ""harbors."""		A ROLLER COASTER (-R) is a very poor place to harbor a gardening HOE (hoe) in your hands.		2993				1 - NGSL	2001-3K	2701	BB0	4.000		7	2	6
2831.00	integration	SPWE/TKPWAEUGS	TEGT	"TEGT (which overwrites ""text,"" for which I added in TEBG) is based on the addition of TEG for ""integrate."" I also added in TEGTS for ""integrations."")"				2994				3 - NAWL	2001-3K		BB1	4.000		13	2	11
2832.00	comedy	KOPL/TKEU	KPHED	"I also added in KPH*ED for ""comedian."""		"The KPHE (economy) of DALLAS (-D) is no comedy. It's pretty vibrant, in fact. (KPHE is an outline for ""economy."")"		2995				1 - NGSL	2001-3K	2702	BB2	5.000		8	2	6
2833.00	echo	EBG/OE	KHOE	"KHOE overwrites one way to write ""Cho."" I also added in KHOES for ""echoes."" (KHOES overwrites ""chose,"" for which I added in KHUD, as I added in KHU for ""choose."")"		"""You were the KHOE-sen (chosen) one!"" echoes Obi-Wan Kenobi's voice in Star Wars III."		2996				4- Not in a list	2001-3K		BB3	4.000		5	2	4
2834.00	chase	KHAEUS	KHAEF	"I also added in KHAEFR for ""chaser."""		KHAEF-ing (chasing) your dog across the street can cause both of you to end up in the ACCIDENT & EMERGENCY DEPARTMENT (AE).		2997				1 - NGSL	2001-3K	2703	BB4	5.000		6		5
2835.00	storage	STORPBLG	STORT	"STORT is based on STOR for ""store."" It overwrites a misstroke entry for ""short."""				2998				1 - NGSL	2001-3K	2704	BB5	5.000		8		7
2836.00	founder	TPOURPBD	TPEUR	"TPEUR overwrites ""fir,"" for which I added in TP*EUR. (I also added in TP*EURS for ""firs,"" which overwrites ""first,"" for which I added in -FRS.) I also added in TPEURS for ""founders,"" which overwrites another way to write ""first."""		A FEUR (fir) tree is planted in memory of the founder of a city.		2999				4- Not in a list	2001-3K		BB6	5.000		8		7
2837.00	universe	AOUFRS	AOUS	"AOUS overwrites ""use,"" for which I added in AOUF. I also added in AO*US for ""Universe"" and both AOUSZ and AOUZ (which overwrites another way to write ""use"") for ""universes."""		Researchers AOUS (use) a telescope on SPAIN (-S)'s highest mountain to investigate the universe.	"If a friend wanted me to go out into space to explore the universe, I might say to him, ""AOUFRS"" (you first). Space is scary!"	3000				1 - NGSL	2001-3K	2705	BB7	4.000		6		8
2838.00	horrible	HORBL	HORB	"I also added in HORBL for ""horribly,"" which overwrites the original outline for ""horrible."""		"If you have vertigo, riding ROLLER COASTERS (-R) may seem like a horrible HOB (hobby). (HOB is an addition for ""hobby."")"		3001				1 - NGSL	2001-3K	2706	BB8	4.000		5		8
2839.00	grip	TKPWREUP	KREUP	"I also added in KREUPG for ""gripping"" and KREUPD for ""gripped."""		A sea captain struggles to grip the wheel of his boat during a KREUP-ling (crippling) windstorm.		3002				4- Not in a list	2001-3K		BB9	5.000		8		4
2840.00	sheep	SHAOEP	SH*EP	"I use SHEP for ""emotion,"" which is why I added in SH*EP for ""sheep."""		"PORCUPINES (*) do not display much SHEP (emotion), unlike sheep, who will definitely let you know if they are having a baa-d day. :)"		3003				1 - NGSL	2001-3K	2707	BBA	5.000		6		5
2841.00	lover	HROFR	HOFR	"HOFR (which overwrites ""hover,"" for which I added in both HO*FR and HOEFR) is based on my use of HOF for ""love."" I also added in HOFRS for ""lovers,"" which of course overwrites ""hovers."""				3004				1 - NGSL	2001-3K	2708	BBB	4.000		5		5
2842.00	certificate	SER	S*EUR	"I also added in S*EURS (which overwrites one way to write ""sirs"") for ""certificates"" and S*EURT for ""certification."""		"To be considered a SEUR (sir) in high society, you will need to procure a certificate certifying that you have a PORCUPINE (*)-free home."	You give the SER (Southeast Region) of the United States a certificate for having the best football teams in the country.	3005				4- Not in a list	2001-3K		BBC	5.000		3		11
2843.00	rat	RAT	RA*T	"I use RAT for ""rate."""		A RAT (rat) will go after a PORCUPINE (*) if it is hungry enough.		3006				1 - NGSL	2001-3K	2709	BBD	4.000		3		3
2844.00	portrait	POR/TRAT	TRAEL	"TRAEL overwrites ""traditionally,"" for which I added in TRA*L. I also added in TRAELT for ""portraiture"" and TRAELS (which overwrites one way to write ""paralysis"") for ""portraits."""		"You have to paint a portrait of a TRAE (tree) quickly before a LASER (-L) cannon destroys it. (TRAE is an addition for ""tree."")"		3007				1 - NGSL	2001-3K	2710	BBE	5.000		7	2	8
2845.00	spiritual	SPEURT/WAL	SPR-LT or SP-RLT	"These additions are based on the additions of SPR-T and SP-RT for ""spirit."""				3008				4- Not in a list	2001-3K		BBF	5.000		9	2	9
2846.00	innocent	TPH-PBT	SEUB	"SEUB overwrites ""sib,"" for which I added in SAO*EB. I also added in SEUBL (which overwrites ""Sibyl,"" for which I added in S*EUB) for ""innocently"" and SEUBT for ""innocence."""		"A child declares that he is innocent of knocking over a lamp, and blames his SEUB-ling (sibling) instead."	"One of the problems with the death penalty is that the state might execute someone and bury him N-N (under) the ground, only to discover later that he was innocent. (N-N is the original outline for ""under."")"	3009				1 - NGSL	2001-3K	2711	BC0	4.000		6		8
2847.00	bargain	PWAR/PKPWAPB	PWRAR			"A Soviet RUSSIAN (R-) official and an American diplomat make a secret bargain in a country BAR (bar) in Frisco, Texas."		3010				3 - NAWL	2001-3K		BC1	5.000		11	2	7
2848.00	substitute	STUT	STAOU	"STAOU overwrites ""stew,"" for which I added in STAO*U, which overwrites ""Stu,"" for which I added in ST*U. (I also added in STAO*UD for ""stewed."") In addition, I added in STAOUD for ""substituted"" and STAOUT for ""substitution."" "		I think STAOU (stew) is an acceptable substitute for soup.	Someone should not give up on their dream of becoming a substitute teacher just because they have a STUT-ter (stutter).	3011				1 - NGSL	2001-3K	2712	BC2	5.000		4		10
2849.00	supplement	S*UPLT	SPHRE	"I also added in SPHRER for ""supplementary"" and SPHREL for ""supplemental."""		"Buying the LE (least)-expensive dietary supplement is a SP- (simple) approach, but is it the wisest? (SP- is an outline for ""simple."")"	"If you're looking for a good dietary supplement, stay away from PORCUPINE (*) needles, no matter how good the packaging makes them sound. Just drink SUMT (some tea)."	3012				1 - NGSL	2001-3K	2713	BC3	5.000		6		10
2850.00	shame	SHAEUPL	SH-PL	"I also added in SH-FPL for ""shameful"" and SH*FPL for ""shamefully."""		An aspiring fireman is filled with shame because he is too afraid to SH-M-my (shimmy) down the fire pole.		3013				4- Not in a list	2001-3K		BC4	4.000		7		5
2851.00	adjustment	SKWR*UPLT	KHUFT	"KHUFT is based on the addition of KHUF for ""adjust."""			"A judge pronounces a guilty SKWRUPLT (judgment) against someone, but the case is appealed, and DNA evidence determines that he was innocent. Thus, an adjustment to the verdict has to be made. An asterisk is placed next to the verdict, along with the words ""actually not guilty."" (SKWRUPLT is the outline for ""judgment."")"	3014				1 - NGSL	2001-3K	2714	BC5	5.000		9		10
2852.00	reasonably	RAEPBL	R*PBL	"R*PBL is based on R-PBL for ""reasonable."""		"A R-PBL (reasonable) person would consider it a reasonably bad idea to pick up a PORCUPINE (*) with your bare hands, given all its needles. (R-PBL is an outline for ""reasonable."")"	"Even if you're reasonably sure that an injury won't kill you, it's still a R-PBL (reasonable) idea to go to the ACCIDENT AND EMERGENCY DEPARTMENT (AE) and get it checked out. (R-PBL is the outline for ""reasonable."")"	3015				1 - NGSL	2001-3K	2715	BC6	5.000		6		10
2853.00	filter	TPEURLT	TPOPL	"I also added in TPO*PLT for ""filtration."" (I use TPOPLT as a misstroke entry for the addition of TPOPT for ""failure."")"		"A group of cheerleaders use a ""Shinjuku filter"" on their pictures of their POM-poms (pom-poms) to make it look like they're actually in TOKYO (T-)."		3016				1 - NGSL	2001-3K	2716	BC7	5.000		7		6
2854.00	flexible	TPHREBL	TPUBL	"I also added in TP*UBL for ""flex."""		"A researcher hopes to develop a LASER (-L) whose beam is as flexible as 35mm TPUB (film). (TPUB is an addition for ""film."")"	"I imagine that a flea (TPHRE) is a pretty flexible creature, given its jumping abilities."	3017				1 - NGSL	2001-3K	2717	BC8	5.000		7		8
2855.00	shed	SHED						3018				4- Not in a list	2001-3K		BC9	4.000		4		4
2856.00	infrastructure	TPRUBGS	STR*U	"STR*U is based on the addition of STRU for ""structure."""		"An applicant to an engineering firm claims that he worked on ""a major infrastructure project,"" but upon further discussion, it turned out that this ""project"" was simply a STRU (structure) for his pet PORCUPINE (*). (STRU is an addition for ""structure."")"	"A civil engineering student is mad because he got an F on his inftrastructure project, so he starts a RUBGS (ruckus) in the engineering building and flips over all the computer stations."	3019				4- Not in a list	2001-3K		BCA	5.000		7		14
2857.00	carrier	KAER/*ER	KA*ER	"KA*ER is based on KAER for ""carry."" I also added in KA*ERS (which overwrites ""caries,"" for which I added in KAERZ) for ""carriers."""		"The captain of an aircraft carrier KAER-s (carries) his trusty pet PORCUPINE (*) on his shoulder. (KAER is an outline for ""carry."")"	A car (KAR) is a good carrrier of 'yer' (KWRER) family.	3020				3 - NAWL	2001-3K		BCB	5.000		7	2	7
2858.00	abstract	AB/STRABG	STRAB	"I also added in STRABT for ""abstraction"" and STRABL for ""abstractly."" STRABL overwrites ""demonstrable,"" for which I added in TRO*E."		"Even though the SPACE SHUTTLE's (S-) path is not limited to a specific TRAB (track), that does not mean that its journeys are abstract."		3021				1 - NGSL	2001-3K	2718	BCC	5.000		8	2	8
2859.00	desperate	TKES/PRAT	SPRE	"I also added in SPR*ET for ""desperation."""		An ELEPHANT (E) desperate for peanuts goes on a shopping SPRE (spree) and buys out the whole store's supply.		3022				4- Not in a list	2001-3K		BCD	4.000		8	2	9
2860.00	tent	TEPBT		TENT				3023				1 - NGSL	2001-3K	2719	BCE	5.000		5		4
2861.00	brick	PWREUBG	PW-PT			"Let's pretend BPT stands for ""basis point."" A commodities analyst tracks every BPT (basis point) move in the price of bricks."		3024				4- Not in a list	2001-3K		BCF	4.000		7		5
2862.00	precise	PRE/SAOEUS	POUB	"I also added in POUBT for ""precision."""		"Running a URANIUM (U) power plant simply won't be POB (possible) unless you're able to make very precise measurements of the reactor's temperature. (POB is an outline for ""possible."")"		3025				1 - NGSL	2001-3K	2720	BD0	4.000		9	2	7
2863.00	distant	STKAPBT	STKAT	"STKAT is based on the addition of STKA for ""distance."" I also added in STKALT and STKAL for ""distantly."""			"Wikipedia reports that ""[DANT] Dant katha, (tooth stories) are Indian folk legends or fables."" But because I'm not from India, these stories are distant to me."	3026				1 - NGSL	2001-3K	2721	BD1	5.000		7		7
2864.00	stranger	STRAEURPBG	STR-RT	"STR-RT is based on the addition of STR-T for ""strange."""				3027				1 - NGSL	2001-3K	2722	BD2	5.000		10		8
2865.00	dominant	TKOPL/TPHAPBT	TKA*T	"TKA*T overwrites ""Dat,"" for which I added in TKA*TD, which is similar to my addition of TKATD for ""dat."" I also added in TKA*TS for ""dominance."""		"Two PORCUPINES (*) make the DAT (decision) to wrestle in order to see who is the dominant leader of their pack. (TKAT is an addition for ""decision."")"		3028				3 - NAWL	2001-3K		BD3	5.000		12	2	8
2866.00	cure	KAOUR		"I also added in KAOURS for ""cures,"" which overwrites ""curious,"" for which I added in KOFP, which overwrites ""Koch,"" for which I added in KO*FP."				3029				3 - NAWL	2001-3K		BD4	5.000		5		4
2867.00	par	PAR	PA*R	"PA*R overwrites {para^}, for which I added in PRA*."		You fail to make PAR (par) on a golf course because your put hits a PORCUPINE (*) on the 18th hole.		3030				3 - NAWL	2001-3K		BD5	4.000		3		3
2868.00	shade	SHAEUD	SHAB	"I also added in SHA*B for ""shady"" and SHA*BG (which overwrites ""Zack,"" for which I added in SAEUBG, which overwrites ""sake,"" for which I added in SAUBG) for ""shading."""		The shade is not a SHAB-by (shabby) place to sit in the summer.		3031				1 - NGSL	2001-3K	2723	BD6	4.000		6		5
2869.00	admission	AD/PHEUGS	PH*GS	"PH*GS overwrites ""milligrams,"" for which I use PHAUPLS because I added in PHAUPL for ""milligram."" I also added in PH*GZ for ""admissions."""		"Being a sports STAR (*) often M-GS (makes) it easier to gain admission to a school. (PH-G is an addition for ""make,"" and thus PH-GS is used for ""makes."")"		3032				3 - NAWL	2001-3K		BD7	5.000		8	2	9
2870.00	recession	RE/SEGS	REGS	"REGS overwrites ""registration,"" for which I added in STERT. I also added in REGSZ for ""recessions."""		"The REGS (regulars) at a bar attend less often due to the impact of the recession. (REG is an outline for ""regular."")"		3033				4- Not in a list	2001-3K		BD8	4.000		6	2	9
2871.00	dose	TKOES		"I also added in TKO*ES for ""dosing"" and TKO*ES for ""dosed."""				3034				3 - NAWL	2001-3K		BD9	5.000		5		4
2872.00	execute	SKAOUT	KPOU	"I also added in KPOUS for ""executes,"" which overwrites ""anxious,"" for which I added in KPUP."		"A coach for OKLAHOMA (OU) KP-s (examines) film in order to see how well his defense is executing plays. (KP- is an outline for ""examine."")"	"Be careful about clicking an animal picture in an email from an unknown sender, even if the picture SKAOUT (is cute)--as that click could let a hacker execute a harmful virus inside your computer."	3035				3 - NAWL	2001-3K		BDA	4.000		6		7
2873.00	frustrate	TPRUS/TRAEUT	TPR-B	"I also added in TPR-BG for ""frustrating,"" which overwrites FRC."		"Trying to trek FR- (from) one side of BRAZIL (-B)'s rainforest to the other without the proper footwear would frustrate just about any explorer. (FR- is an outline for ""from."")"		3036				4- Not in a list	2001-3K		BDB	4.000		11	2	9
2874.00	grain	TKPWRAEUPB	KRAET	"KRAET overwrites ""create,"" for which I added in KRA. I also added in KRAETD (which overwrites one way to write ""credit"" for ""grained."""		A KRAET (crate) of grain is a wonderful thing to donate to the ACCIDENT & EMERGENCY DEPARTMENT (AE)'s kitchen.		3037				1 - NGSL	2001-3K	2724	BDC	5.000		10		5
2875.00	situate	SWAEUT	SW*F	"SW*FT is based on the addition of SW-F for ""situation."""	SEUFPT	"It would be an awkward SW-F (situation) if a PORCUPINE (*) decided to situate itself inside your bathroom. (SW-F is an addition for ""situation."")"		3038				1 - NGSL	2001-3K	2725	BDD	4.000		6		7
2876.00	conscious	K-RBS	K-RB	"I also added in K*RB for ""consciously."""		A dieter tries to stay conscious of all the K-RBs (carbs) that his meals contain.	"If you and a friend are trying to escape a kidnapper, you don't want to make him conscious of your presence--which is why you voice repeated ""SHS"" (Shh-s) to your friend."	3039				3 - NAWL	2001-3K		BDE	3.000		4		9
2877.00	summarize	SUPL/RAOEUZ	SR-R	"SR-R overwrites ""VR,"" for which I added in SRA*ER."		VR (Virtual Reality) offers an exciting new way to summarize information in presentations.		3040				1 - NGSL	2001-3K	2726	BDF	3.000		10	2	9
2878.00	leap	HRAOEP	HRAEP	"I also added in HRAEPS for ""leaps,"" which overwrites one way to write ""epilepsy."" "		"Leaping off your bed may sound like fun, but a bad landing could send you to the ACCIDENT & EMERGENCY DEPARTMENT (AE)."	You leap out of bed because a giant MOSQUITO is sucking on your ankle. Gross! (Remember that MOSQUITO specifies that the outline uses the vowel AOE.)	3041				1 - NGSL	2001-3K	2727	BE0	5.000		6		4
2879.00	prayer	PRAEUR	PRAER	"PRAER is based on the addition of PRAE for ""pray."" It overwrites a misstroke entry for ""temporary."""				3042				4- Not in a list	2001-3K		BE1	5.000		6		6
2880.00	sixty	SEUBGT	U6	(Typed as #UF)			"If you're SEUBG (sick), just drink a mug of soothing T (tea), and in sixty minutes (one hour) you'll feel much better."	3043				2 - Sup	2001-3K		BE2	3.000		6		5
2880.01	sixtieth	SEUBGS/KWR*ET	*U6	(Typed as #*UF) I would also recommend adding in #*U (which overwrites one way to write {>}{&u}) as a misstroke entry.			"You've been in bed for just SEUBGS (six) hours, but after lying awake for the sixtieth minute and being unable to get back to sleep, you decide that you may as well get out of bed. (SEUBGS is the outline for ""six."")"	3044				5.2 - Sup (no frequency data)	2001-3K		BE3	4.000		12	2	8
2881.00	snap	STPHAP	SOEUB	"I also added in SOEUBG for ""snapping,"" which overwrites ""cycle,"" for which I added in SAUR."		You can make a great marinade in a snap using BRAZIL (-B) nuts and SOEU (soy) sauce.		3045				1 - NGSL	2001-3K	2728	BE4	5.000		6		4
2882.00	prescribe	PREUB	PRUB			A doctor prescribes a potent back RUB (rub) for a PING PONG (P-) player who is sore after a long competition.	"A doctor prescribes a hot, soothing bath for a guy who's experiencing soreness in his left REUB (rib)."	3046				4- Not in a list	2001-3K		BE5	4.000		5		9
2883.00	probability	PROBT		"PROB is the outline for ""probable,"" so this outline simply adds a T on the end to represent the ""-ity"" ending. "		"(Story for PROB for ""probable"": it does not seem very probable that someone would ROB (rob) a store of its PING PONG (P-) balls.)"		3047				1 - NGSL	2001-3K	2729	BE6	5.000		5		11
2884.00	junior	SKWRUPB/KWROR	KHOUR	"I also added in KHO*UR for ""Junior."""		High school juniors KHOU (chow) down on junk food right before riding a ROLLER COASTER (-R)—which they soon regret.		3048				3 - NAWL	2001-3K		BE7	5.000		12	2	6
2885.00	leather	HRE/THER	THAER	"THAER overwrites ""their,"" for which I added in T-R."		A tourist wedges pieces of leather in his ears so that he does not have to HAER (hear) as much of TOKYO'S (T-) traffic noise.	"Fashion stores often have weird names. Imagine picking out a leather purse at ""LE THER"" (Le They're). It's a nonsensical phrase, but it has the word ""Le"" in it to make it sound all French and elite. (THER is the original outline for ""they're,"" although I remapped THER to ""they are."")"	3049				1 - NGSL	2001-3K	2730	BE8	5.000		7	2	7
2886.00	consent	KEFPBT	SKEPB	"I also added in SKEPBS for ""consents,"" which overwrites ""consensus,"" for which I added in SUS, and SKEPBL for ""consensual."""		It's not very nice to draw on an ELEPHANT (E)'s SKEPB (skin) without her consent.	"If you want some undergrad named Kevin T. to participate in a research study, he'll need to provide informed consent first."	3050				3 - NAWL	2001-3K		BE9	5.000		6		7
2887.00	vocabulary	SROEBG/PWAER	SRABL	"SRABL overwrites ""valuable,"" for which I added in SR*UL. I also added in SRABLS for ""vocabularies."""		"Although your SPACE SHUTTLE (S-) crew has an impressive vocabulary when it comes to spaceflight, you're surprised to find that they are also RABL-rousers (rabble-rousers) who love to pull pranks on one another."	"A PWAER (bear) does not have a large vocabulary; its main words are ""roar"" and ""growl."" (PWAER is the outline for ""bear."")"	3051				3 - NAWL	2001-3K		BEA	5.000		11	2	10
2888.00	administrative	AD/PH-F	STRAF	"STRAF is based on the addition of STRA for ""administrate."" I also added in STRAFL (which overwrites a misstroke entry for ""travel"") for ""administratively."")"			"A marketing executive is an important part of any administrative team because she or he is the person who has to PH-F (manufacture) all the AD-s (ads). (PH-F is indeed an outline for ""manufacture."")"	3052				4- Not in a list	2001-3K		BEB	5.000		6	2	14
2889.00	uncertainty	UPB/SERPBT	*EURT	"*EURT is similar to the addition of EURT for ""uncertain."""	UN/SERPT			3053				1 - NGSL	2001-3K	2731	BEC	5.000		9	2	11
2890.00	swear	SWAER						3054				1 - NGSL	2001-3K	2732	BED	5.000		5		5
2891.00	rally	RAL/HREU	RAUG	"I also added in RA*UG for ""rallying."""		Is the right to sell RAU (raw) GOAT's (-G) milk in stores a cause for which you would rally?		3055				4- Not in a list	2001-3K		BEE	4.000		7	2	5
2892.00	enthusiasm	THUFPL	THUF	"I also added in TH*UF for ""enthusiast."""		A bullet train HUF-s (huffs) and puffs with great enthusiasm to get to TOKYO (T-) on time.	"A coach with great enthusiasm concludes her speech by saying: ""THUS (thus), we can beat M ('em)!"	3056				4- Not in a list	2001-3K		BEF	4.000		6		10
2893.00	refugee	REF/SKWRAOE	R-PBLG	"I also added in R*PBLG for ""refuge."""		A RJ (regional jet) flies refugees from a war zone to a safe haven.		3057				1 - NGSL	2001-3K	2733	BF0	5.000		10	2	7
2894.00	fiscal	TPEUFBG	TPAOT	"TPAOT overwrites ""foot,"" for which I added in TPAO. I also added in TPAOLT for ""fiscally."""		"One way to exercise fiscal restraint is to make TACOS (-T) at home instead of FAO-ing (footing) the bill for them at a restaurant. (TPAO is an addition for ""foot."")"	The FEUSK (Fiske) guide to colleges explains the fiscal implications of attending each school.	3058				4- Not in a list	2001-3K		BF1	5.000		7		6
2895.00	punishment	PUPLT	PUFPT	"PUFPT is based on the addition of PUFP for ""punish."""	"If you use the original outline P-RB for ""punish"" instead, you may want to add in P-RBT for ""punishment."""		"There's a drink from pomegranates called POM, but imagine that as a punishment, you have to drink T (tea) made from PUPL (PUM), a knockoff that uses rotten pomegranates."	3059				3 - NAWL	2001-3K		BF2	5.000		5		10
2896.00	shore	"SHOR (or SHOER if you use SHOR for ""prosecute"""	SHOER	"I use SHOR for ""prosecute,"" which is why I prefer SHOER for ""shore."""		(Story for SHOER: It may not be worth it to buy a house on the shore of Florida if doing so will put you deeply into DEBT (OE). (Story for SHOR: An OCTOPUS (O) slithers onto shore to see what the excitement is all about.)		3060				1 - NGSL	2001-3K	2734	BF3	5.000		4		5
2897.00	overnight	AUFRPBT	*EUGT	"*EUGT is based on the addition of EUGT for ""night."""		"You set up a time-lapse camera at EUGT (night) to see how the STARS (*) travel through the sky overnight. (EUGT is an addition for ""night."")"	"You need a shipment of AU (gold) sent to you from a vault in FR (France) overnight. (You have a big purchase coming up.) To disguise the shipment, though, you have the bank hide the coins inside a jar of PB (peanut butter) and a T (tea) box."	3061				4- Not in a list	2001-3K		BF4	5.000		7		9
